Moisture,Volatile_matter,Fixed_Carbon,Std.Ash,Hydrogen,Carbon,Nitrogen,Oxygen,Sulfur,GCV
7.82,41.19,47.24,3.75,6.16,69.97,1.49,18.19,.44,26.73065562
8.12,42.14,45.66,4.08,5.96,69.54,1.53,18.47,.42,26.35975089
7.82,43.99,45.98,2.21,6.26,71.35,1.44,18.27,.47,27.66891869
5.20,46.70,40.10,8.00,5.80,68.20,1.30,16.00,.70,27.11849056
4.30,39.20,48.40,8.10,5.60,69.00,1.20,15.50,.60,27.02012662
7.72,42.59,45.39,4.30,6.12,68.97,1.43,18.63,.55,26.53903304
4.00,41.20,50.50,4.30,5.70,72.00,.80,16.30,.90,28.37620339
6.10,37.60,44.80,11.50,5.40,65.40,1.30,15.60,.80,25.00178621
5.93,37.80,41.40,14.87,5.18,61.96,1.20,15.56,1.23,23.88394903
6.32,35.43,45.92,12.33,5.12,64.68,1.16,16.21,.50,24.60353082
5.10,38.50,45.00,11.40,5.40,65.70,1.40,15.50,.60,25.76631817
6.87,39.69,37.76,15.68,4.96,60.04,1.35,17.31,.66,23.27952794
5.70,37.60,43.80,12.90,5.20,63.40,1.10,16.50,.90,24.68739694
5.20,40.30,47.90,6.60,5.70,68.60,1.30,16.40,1.40,27.09388105
6.93,36.78,47.67,8.62,5.22,66.18,1.18,18.30,.50,25.09643476
6.00,39.40,47.90,6.70,5.50,67.30,1.30,18.80,.40,26.75858106
34.99,25.61,24.79,14.61,6.63,37.80,.66,39.18,1.12,9.54295007
32.10,27.25,24.10,16.55,6.20,37.50,.70,38.00,1.05,10.24181023
17.42,32.07,20.26,30.25,4.94,37.35,.56,25.71,1.19,12.70746193
30.70,28.90,25.10,15.30,6.20,39.40,.70,37.90,.50,11.00225275
24.66,29.22,27.45,18.67,5.83,41.46,.85,32.58,.61,12.41637156
30.82,32.57,21.44,15.17,6.34,37.86,.51,38.30,1.82,10.73873101
16.33,39.27,27.57,16.83,5.75,49.58,.77,25.60,1.47,17.10222883
20.34,30.93,29.49,19.24,5.52,44.03,.79,29.18,1.24,14.06289608
25.73,31.75,32.41,10.11,6.32,47.72,1.09,34.11,.65,14.21779033
23.56,32.69,31.48,12.27,5.84,47.54,.70,32.20,1.45,14.38099896
29.40,30.34,32.61,7.65,6.66,46.75,1.02,37.40,.52,13.19863823
29.30,31.48,32.18,7.04,6.71,47.26,1.02,37.42,.55,13.32745296
32.86,28.96,29.78,8.40,6.58,42.22,.80,41.08,.92,11.04923215
27.90,31.70,27.70,12.70,6.40,42.40,.80,36.70,1.00,12.34790808
28.50,32.00,30.70,8.80,6.50,46.00,.80,37.30,.60,12.72713807
24.33,32.24,34.32,9.11,6.01,49.20,.80,33.60,1.28,14.85680596
21.50,31.93,26.97,19.60,5.49,42.41,.72,31.26,.52,13.22146157
23.30,32.04,27.74,16.92,5.61,43.05,.80,33.13,.49,13.05927603
22.07,34.02,31.44,12.47,5.88,47.44,.73,32.20,1.28,14.77160633
33.10,30.00,30.30,6.60,6.70,43.10,.60,42.00,1.00,11.50413002
27.90,32.80,31.70,7.60,6.60,46.90,.80,37.40,.70,13.53762780
25.90,36.00,30.00,8.10,6.60,47.70,.90,35.70,1.00,14.41266474
27.44,31.75,34.87,5.94,6.61,48.16,1.13,37.07,1.09,13.93600980
20.25,36.33,33.86,9.56,5.85,51.56,.83,30.78,1.42,16.39347101
14.11,37.94,36.87,11.08,5.51,55.14,1.04,25.37,1.86,18.97686324
16.36,37.48,37.22,8.94,5.77,55.78,.97,27.40,1.14,18.90943592
21.90,35.30,31.50,11.30,6.10,48.05,.95,32.60,1.00,15.07262764
16.86,37.72,35.98,9.44,5.51,54.46,.96,28.61,1.02,18.01210981
18.60,40.30,32.10,9.00,6.10,52.20,1.00,30.70,1.00,17.34578469
26.00,34.70,32.00,7.30,6.40,47.40,.90,37.30,.70,13.98020040
20.70,34.31,36.74,8.25,5.81,51.52,.94,32.91,.57,16.03567741
12.53,46.05,32.96,8.46,5.52,53.28,.69,29.26,2.79,18.89928847
4.67,28.78,54.25,12.30,4.87,70.16,1.42,10.06,1.19,27.74388952
.70,22.10,58.20,19.00,4.40,68.70,1.20,2.20,4.50,28.49099335
2.90,27.50,67.20,2.40,5.50,82.80,1.60,6.90,.80,33.47799381
2.00,27.20,63.60,7.20,5.00,78.00,1.50,7.40,.90,31.55201777
2.90,29.10,57.10,10.90,5.10,72.90,1.30,8.90,.90,28.70134739
1.30,32.20,56.60,9.90,5.20,74.80,1.10,6.30,2.70,30.89467259
1.50,39.10,54.10,5.30,5.60,77.80,1.30,7.30,2.70,32.39967592
1.70,38.70,56.10,3.50,5.60,79.50,1.60,8.60,1.20,32.55120512
1.80,34.40,54.80,9.00,5.40,73.40,1.70,8.00,2.50,30.43883767
2.20,34.10,60.30,3.40,5.60,78.70,1.30,9.70,1.30,32.21487765
1.70,36.00,57.40,4.90,5.40,78.90,2.00,7.70,1.10,31.86592093
2.30,35.80,59.80,2.10,5.60,80.90,2.00,8.50,.90,32.97226115
3.00,38.60,54.00,4.40,5.50,76.10,2.00,9.80,2.20,30.65537172
2.20,33.70,51.10,13.00,5.20,69.50,1.60,9.20,1.50,28.46519054
1.90,40.50,49.60,8.00,5.40,71.60,1.70,8.30,5.00,30.02297310
2.00,36.65,51.86,9.49,5.14,72.85,1.81,9.30,1.41,29.96939039
2.50,37.50,56.70,3.30,5.70,78.40,1.60,9.80,1.20,31.76497906
2.20,34.90,58.20,4.70,5.60,77.30,1.40,9.60,1.40,31.31727864
3.00,38.20,53.50,5.30,5.70,74.00,1.40,11.00,2.60,30.11439457
3.50,25.40,62.40,8.70,4.90,75.40,1.50,8.90,.60,29.74623376
1.70,36.70,50.20,11.40,5.40,72.50,1.80,8.20,.70,29.42153484
1.70,37.20,52.60,8.50,5.30,72.20,1.40,9.00,3.60,29.94712518
3.90,35.00,51.50,9.60,5.20,69.80,1.50,11.10,2.80,28.18928650
2.90,38.40,56.10,2.60,5.90,78.80,1.70,10.30,.70,31.47691681
2.70,35.30,58.30,3.70,5.40,78.30,1.70,10.20,.70,31.65704364
2.60,38.70,56.20,2.50,5.70,75.20,2.10,13.80,.70,32.16264315
1.87,36.24,47.85,14.04,5.06,68.98,1.76,8.56,1.60,28.31718177
1.60,36.10,46.40,15.90,4.80,65.40,1.50,8.90,3.50,27.14220070
2.00,39.50,49.70,8.80,5.10,71.20,1.30,9.30,4.30,29.35431171
2.40,34.40,60.60,2.60,5.70,78.80,1.40,10.70,.80,32.14899856
2.60,32.80,42.60,22.00,4.60,59.40,1.30,7.50,5.20,24.60748469
2.10,28.10,61.50,8.30,5.20,76.20,1.30,8.50,.50,30.40528388
2.50,34.30,60.00,3.20,5.50,79.30,1.60,9.80,.60,32.03931130
2.40,36.30,59.00,2.30,5.70,79.50,2.10,9.80,.60,32.49839533
1.90,31.60,59.40,7.10,5.30,76.20,1.40,9.40,.60,30.80913846
3.60,35.30,57.80,3.30,5.60,76.70,1.60,11.90,.90,30.54647622
3.00,35.40,56.30,5.30,5.40,75.10,1.60,11.40,1.20,30.05794125
4.40,33.00,59.80,2.80,5.50,76.00,1.90,12.20,1.60,30.15288148
3.40,34.10,51.30,11.20,5.10,69.70,1.60,11.00,1.40,27.63339861
2.70,32.30,45.40,19.60,4.50,64.20,1.40,9.40,.90,25.27845856
2.60,32.60,48.60,16.20,4.80,63.70,1.10,9.60,4.60,26.08540190
3.00,35.70,56.40,4.90,5.60,76.80,1.50,10.60,.60,30.49738365
2.90,33.40,60.80,2.90,5.80,78.30,1.30,10.80,.90,31.14963786
1.30,6.70,73.60,18.40,2.00,72.70,.50,1.30,5.10,26.92657983
1.30,27.70,56.50,14.50,4.50,70.70,1.20,1.60,7.50,29.31189866
1.30,5.10,79.40,14.20,1.90,78.90,.70,2.30,2.00,28.64655505
3.57,4.10,83.24,9.09,2.12,82.65,.90,4.35,.89,28.88404366
1.40,3.80,83.30,11.50,2.00,82.60,.80,2.50,.60,29.67191995
1.60,4.20,81.00,13.20,1.70,81.10,.90,2.70,.40,28.58255550
2.10,4.80,86.00,7.10,2.00,86.50,.70,3.20,.50,30.59876013
3.55,3.89,82.87,9.69,2.24,82.32,.78,4.51,.46,28.81855534
3.44,4.40,74.08,18.08,2.22,73.47,.58,4.42,1.23,25.76623426
2.10,5.70,87.00,5.20,2.00,88.20,.70,3.30,.60,31.25830098
1.40,5.60,84.80,8.20,2.10,85.70,.70,2.70,.60,30.72589587
.80,7.80,85.30,6.10,3.50,86.20,1.20,2.20,.80,33.10259618
1.80,4.60,85.80,7.80,2.00,85.80,.70,3.10,.60,30.37305152
1.10,5.70,83.20,10.00,2.00,83.90,.80,2.60,.70,30.06076161
1.10,7.60,85.40,5.90,2.90,86.70,.90,2.60,1.00,32.72670072
2.00,4.90,81.30,11.80,1.90,81.30,.80,3.40,.80,28.89884985
1.70,5.20,78.70,14.40,1.90,79.40,.60,3.30,.40,28.07360346
1.80,6.10,82.80,9.30,2.00,83.50,.60,3.40,1.20,29.82538187
1.80,6.70,81.80,9.70,2.60,82.60,.90,3.40,.80,30.30438723
1.20,6.20,80.80,11.80,2.80,80.90,.80,2.90,.80,29.96169636
.80,8.80,70.50,19.90,3.10,72.00,1.00,2.60,1.40,27.68559626
1.20,9.90,79.40,9.50,3.30,82.10,1.30,3.00,.80,31.40790625
1.60,4.50,80.00,13.90,2.00,79.20,.80,3.50,.60,28.65094763
4.48,6.14,77.22,12.16,2.24,78.19,.56,6.07,.78,27.40204257
2.67,5.16,77.57,14.60,2.04,77.75,.56,4.65,.40,27.21545558
1.80,5.70,82.10,10.40,1.70,82.60,.80,3.90,.60,29.43724362
7.59,9.29,77.45,5.67,4.11,79.06,1.52,9.05,.59,28.57563916
3.81,5.16,84.34,6.69,2.20,84.30,.55,5.73,.53,29.10052278
2.00,27.80,59.30,10.90,4.90,75.30,1.30,4.20,3.40,30.78922174
1.40,6.80,85.00,6.80,2.50,85.60,.80,3.70,.60,31.29850246
1.50,6.30,80.30,11.90,2.70,80.30,.80,3.80,.50,29.73297143
1.40,8.10,80.70,9.80,3.00,81.50,1.00,3.80,.90,30.45053279
1.50,30.70,59.50,8.30,5.00,78.70,1.40,3.90,2.70,32.61743342
1.30,10.10,70.00,18.60,3.40,72.40,.80,3.80,1.00,27.70184978
.70,7.90,64.20,27.20,2.90,65.10,.90,3.30,.60,24.71373107
3.36,4.04,65.64,26.96,1.87,64.21,.52,5.81,.63,22.45948603
1.40,6.80,81.20,10.60,2.40,81.50,.80,4.20,.50,29.80939507
1.11,11.91,60.09,26.89,3.19,63.90,1.12,3.96,.94,24.91270661
1.60,8.60,77.90,11.90,3.30,78.90,.90,4.40,.60,30.13991852
1.60,28.60,58.70,11.10,5.00,75.90,1.30,4.60,2.10,30.84608790
1.70,29.30,58.80,10.20,4.80,76.30,1.30,4.70,2.70,30.97484568
5.38,5.99,77.47,11.16,2.41,76.78,.54,8.71,.40,26.75679556
3.32,13.69,56.68,26.31,3.14,60.38,1.04,8.43,.70,22.39915672
1.00,37.80,53.10,8.10,5.40,75.40,1.60,6.40,3.10,31.40267585
1.00,36.60,52.80,9.60,5.20,74.80,1.60,6.80,2.00,31.19541935
1.40,34.80,53.30,10.50,5.20,73.40,1.60,7.40,1.90,30.29035157
10.91,16.04,58.80,14.25,4.28,63.63,1.12,16.09,.63,21.94885982
1.60,30.10,56.10,12.20,4.80,71.30,1.40,9.80,.50,28.92575217
6.80,27.00,50.50,15.70,4.90,62.00,1.30,15.50,.60,23.14327572
17.80,17.40,54.10,10.70,4.40,58.00,.90,25.60,.40,17.71863201
8.10,34.50,50.70,6.70,5.80,67.50,1.30,17.90,.80,25.14841285
18.30,19.63,39.67,22.40,4.22,44.72,.96,27.30,.40,13.57638770
19.64,21.99,46.82,11.55,4.51,53.32,1.05,29.18,.39,15.71605205
17.20,31.10,40.10,11.60,5.20,52.80,1.10,28.90,.40,16.18735065
.70,16.00,68.80,14.50,4.20,72.80,1.30,.90,6.30,29.97695211
.70,20.30,62.60,16.40,4.10,71.60,1.00,1.40,5.50,29.05145009
1.70,19.50,49.70,29.10,3.90,59.50,1.10,2.80,3.60,24.17674414
1.29,19.76,68.73,10.22,4.25,77.08,1.36,2.70,4.39,31.23464124
1.90,21.10,54.70,22.30,4.20,65.10,1.20,3.40,3.80,26.52589273
.80,15.80,74.50,8.90,4.30,80.80,1.50,2.70,1.80,32.58631563
1.60,19.10,63.70,15.60,4.40,72.00,1.50,3.50,3.00,29.07860446
2.30,17.21,62.72,17.77,3.82,69.32,1.06,4.13,3.90,27.83188879
1.20,18.80,69.60,10.40,4.60,79.60,1.10,3.30,1.00,31.61226200
1.71,18.59,69.95,9.75,4.56,79.23,1.53,3.77,1.16,31.92194102
.70,21.20,62.00,16.10,4.30,72.30,1.10,2.90,3.30,29.39778575
1.60,16.70,72.60,9.10,4.50,80.70,1.20,3.70,.80,32.02605819
1.89,19.90,67.92,10.29,4.58,78.45,1.35,3.98,1.35,31.41901081
3.89,18.25,67.69,10.17,4.51,75.86,1.28,5.81,2.37,29.75116613
.90,21.70,52.50,24.90,3.70,65.00,1.10,3.20,2.10,26.11704599
1.46,21.00,63.42,14.12,4.41,73.83,1.57,3.90,2.17,29.78176598
1.40,21.30,65.00,12.30,4.80,74.70,1.20,3.90,3.10,30.33617661
.70,26.10,58.20,15.00,4.50,72.20,1.20,3.30,3.80,29.83143293
2.60,23.93,62.03,11.44,4.81,75.66,1.27,5.02,1.80,30.35194988
2.69,23.40,62.40,11.51,4.60,73.82,1.44,5.13,3.50,29.98206431
2.80,21.70,62.90,12.60,4.80,73.40,1.20,5.30,2.70,29.33607984
2.30,18.40,65.50,13.80,4.50,74.60,1.30,4.90,.90,29.45303280
.80,26.50,61.20,11.50,4.70,76.80,1.30,3.60,2.10,30.97932493
1.41,22.27,68.84,7.48,4.60,80.54,1.50,4.16,1.72,32.49367591
1.20,24.30,57.40,17.10,4.40,70.90,1.20,4.00,2.40,28.65530881
1.49,20.33,66.46,11.72,4.64,76.71,1.77,4.27,.89,30.89913107
5.13,22.16,61.18,11.53,4.84,72.82,1.27,7.54,2.00,28.37744609
3.50,26.50,59.30,10.70,5.10,74.50,1.40,6.10,2.20,29.80441631
2.30,19.00,66.80,11.90,4.30,75.90,1.30,5.10,1.50,30.04577509
3.70,23.50,62.80,10.00,5.10,74.50,1.40,6.40,2.60,29.82328712
1.20,24.10,66.10,8.60,4.90,79.40,1.30,4.20,1.60,32.40445077
2.10,29.30,61.80,6.80,5.10,79.90,1.40,5.10,1.70,31.96375144
1.70,25.10,59.30,13.90,4.50,72.90,1.30,4.80,2.60,29.86028136
1.50,28.20,58.10,12.20,4.70,72.00,1.20,4.90,5.00,29.86370841
1.10,28.90,56.90,13.10,4.60,74.00,1.30,4.60,2.40,30.33199338
1.20,25.50,58.50,14.80,4.60,72.60,1.20,4.70,2.10,29.59187037
1.10,25.60,61.60,11.70,4.60,76.70,1.40,4.70,.90,30.89060659
1.36,25.42,62.09,11.13,4.59,75.45,1.47,4.94,2.42,30.97212195
2.10,23.60,67.80,6.50,4.80,81.00,1.20,5.60,.90,32.33881662
.80,25.10,55.50,18.60,4.40,68.90,1.20,4.50,2.40,28.07270284
2.00,24.80,61.60,11.60,4.80,75.30,1.20,5.60,1.50,30.15157513
.80,28.80,59.40,11.00,4.70,76.10,1.40,4.60,2.20,31.38761438
3.43,28.80,63.53,4.24,5.42,81.52,1.33,6.95,.54,32.62891120
1.98,26.72,64.47,6.83,4.94,79.49,1.40,5.68,1.66,32.07557323
1.60,25.10,58.60,14.70,4.80,72.40,1.40,5.40,1.30,29.38513306
6.33,28.79,52.29,12.59,4.92,69.17,1.07,9.70,2.55,26.71876445
3.55,23.83,62.92,9.70,4.77,75.18,1.24,7.33,1.78,30.05348628
1.60,29.50,59.50,9.40,5.00,77.20,1.40,5.70,1.30,31.38580894
1.40,26.50,62.70,9.40,4.90,78.00,1.50,5.60,.60,31.64239668
2.30,26.50,63.40,7.80,5.00,78.40,1.30,6.40,1.10,31.53028975
3.00,25.00,63.30,8.70,4.80,75.80,1.30,7.20,2.20,30.22730121
2.10,29.30,60.50,8.10,5.20,76.90,1.40,6.50,1.90,31.24682357
1.60,33.70,54.00,10.70,5.10,73.60,1.40,6.40,2.80,30.21984668
1.70,33.20,54.80,10.30,4.90,74.50,1.40,6.70,2.20,30.52951385
4.15,25.57,65.74,4.54,5.03,79.57,1.37,8.94,.55,30.84214688
1.40,39.80,49.70,9.10,5.50,73.90,1.70,6.50,3.30,31.23451254
1.50,30.20,61.30,7.00,5.00,77.00,1.40,6.80,2.80,32.03138531
2.00,32.50,51.30,14.20,5.10,69.90,1.40,7.30,2.10,28.47334179
1.50,34.10,56.20,8.20,5.30,76.40,1.40,6.90,1.80,31.58968402
1.90,35.00,58.70,4.40,5.60,79.70,1.70,8.00,.60,32.59875312
1.60,37.90,51.10,9.40,5.40,73.40,1.40,7.80,2.60,30.59929942
2.00,34.20,50.90,12.90,5.10,69.80,1.30,8.20,2.70,28.96039875
2.55,18.92,62.83,15.70,4.36,71.32,1.13,5.29,2.20,28.53061074
1.10,29.10,57.10,12.70,4.70,72.20,1.40,2.70,6.30,30.13654087
2.28,20.89,68.81,8.02,4.62,78.57,1.31,3.77,3.71,31.57111317
1.00,22.00,60.70,16.30,4.20,69.00,1.00,2.70,6.80,28.50357193
6.24,21.39,60.94,11.43,4.96,72.14,1.30,7.50,2.67,27.90802310
4.34,19.68,67.21,8.77,4.40,76.11,1.17,6.00,3.55,29.99837707
1.80,20.70,59.80,17.70,4.40,68.50,1.10,3.90,4.40,27.70542338
2.56,26.20,56.67,14.57,4.80,69.87,1.22,4.83,4.71,28.76104831
2.20,25.40,63.94,8.46,4.87,79.22,1.31,4.84,1.30,31.82627297
3.27,22.46,65.19,9.08,4.91,76.85,1.28,5.83,2.05,30.67777460
1.27,23.10,62.78,12.85,4.45,73.49,1.50,4.06,3.65,30.20627339
2.60,27.90,62.70,6.80,5.00,79.40,1.40,5.40,2.00,31.80050450
1.71,18.41,58.54,21.34,4.08,66.75,1.27,4.63,1.93,26.77151504
3.29,21.23,69.79,5.69,4.81,81.28,1.46,6.09,.67,31.82222782
.84,26.58,61.87,10.71,4.74,76.05,1.48,3.95,3.07,31.17193363
2.70,21.90,56.70,18.70,4.50,68.00,1.00,5.70,2.10,26.79356094
3.55,22.48,64.22,9.75,4.75,76.55,1.25,6.46,1.24,30.42784239
1.00,23.90,45.40,29.70,3.70,56.40,1.00,4.20,5.00,23.79221717
1.83,20.73,62.71,14.73,4.42,74.19,1.03,5.12,.51,29.59718711
1.73,26.10,64.28,7.89,4.85,79.51,1.48,5.40,.87,31.99321084
1.30,26.50,58.30,13.90,4.70,73.40,1.10,5.10,1.80,29.66977914
3.04,31.29,59.93,5.74,5.26,78.28,1.52,6.81,2.39,31.67024425
1.01,29.79,54.76,14.44,4.66,71.15,1.39,5.14,3.22,29.56381123
1.49,30.43,59.02,9.06,4.80,75.96,1.57,5.61,3.00,31.31571706
1.53,28.42,61.29,8.76,4.82,77.98,1.50,5.66,1.28,31.54089488
2.70,28.90,63.60,4.80,5.10,80.60,1.20,6.70,1.60,32.24247040
1.26,18.48,64.55,15.71,4.36,71.15,1.62,5.53,1.63,29.34651619
1.39,28.71,49.51,20.39,4.45,65.02,1.12,5.76,3.26,26.92514800
1.93,38.39,51.95,7.73,5.24,75.16,1.43,6.38,4.06,31.39018695
2.40,29.00,60.10,8.50,5.10,77.00,1.10,6.90,1.40,30.59775860
1.30,22.70,58.40,17.60,4.30,70.10,1.30,6.00,.70,28.04815906
1.60,43.70,47.30,7.40,5.70,74.30,1.40,6.30,4.90,31.56667729
4.66,31.12,53.52,10.70,5.21,71.26,1.24,9.02,2.57,28.42023095
2.50,31.40,60.60,5.50,5.10,79.70,1.40,7.30,1.00,31.96909531
1.98,36.09,54.71,7.22,5.23,77.21,1.41,7.25,1.68,31.54491344
1.96,36.38,51.83,9.83,5.24,74.04,1.38,7.24,2.27,30.32356386
2.98,35.43,53.87,7.72,5.43,74.83,1.30,8.16,2.56,30.72912539
2.27,37.21,46.95,13.57,5.16,68.47,1.34,7.73,3.73,28.77626505
1.90,34.20,54.80,9.10,5.30,74.60,1.70,7.50,1.80,30.47889972
1.90,33.90,54.90,9.30,5.30,75.40,1.30,7.50,1.20,30.87321463
.93,33.43,58.40,7.24,5.07,76.72,1.45,6.80,2.72,32.43991027
2.80,30.90,46.20,20.10,4.70,63.60,1.30,8.50,1.80,25.74492009
3.10,32.60,48.60,15.70,5.30,67.20,1.30,8.90,1.60,27.28874738
3.17,34.23,58.20,4.40,5.48,77.88,1.46,9.02,1.76,31.62778208
2.30,35.70,53.20,8.80,5.30,75.30,1.60,8.30,.70,30.51334198
1.80,32.90,52.10,13.20,4.90,69.40,1.50,8.00,3.00,28.67946948
1.10,37.30,53.70,7.90,5.30,75.20,1.40,7.50,2.70,31.17301890
1.80,32.60,59.30,6.30,5.20,77.70,1.30,8.20,1.30,31.88366585
1.30,31.90,60.90,5.90,5.20,78.10,1.40,8.20,1.20,31.75011437
2.90,37.30,52.20,7.60,5.80,73.10,1.50,10.00,2.00,29.73928920
2.73,18.73,71.73,6.81,4.67,80.14,1.34,4.47,2.57,31.96576773
1.14,22.92,57.69,18.25,4.35,68.38,1.05,3.29,4.68,28.23353447
1.15,28.34,61.18,9.33,4.92,77.05,1.52,5.99,1.19,31.38489576
2.23,21.26,66.83,9.68,4.46,77.37,1.12,2.86,4.51,31.11690896
3.30,21.10,57.50,18.10,4.20,67.50,1.00,4.80,4.40,26.69554913
2.77,16.31,68.36,12.56,4.32,75.11,1.18,4.70,2.13,29.77666232
1.31,21.82,56.14,20.73,4.20,67.84,.95,3.43,2.85,27.59119398
2.40,28.30,61.20,8.10,4.90,78.30,1.30,4.50,2.90,31.48003654
1.82,17.52,57.23,23.43,3.84,63.01,1.31,4.05,4.36,25.87664244
1.37,30.86,54.57,13.20,4.72,72.24,1.47,3.69,4.68,30.20541195
1.53,17.39,61.95,19.13,4.03,69.47,1.24,4.06,2.07,27.98032484
1.16,19.70,64.47,14.67,4.14,73.14,1.24,3.88,2.93,29.59019406
2.95,21.70,63.33,12.02,4.83,74.53,1.40,5.54,1.68,29.77151821
1.26,28.54,56.12,14.08,4.54,69.87,1.36,4.08,6.07,29.29153075
1.57,29.57,59.18,9.68,4.86,76.49,1.17,4.49,3.31,31.12090160
1.10,30.74,53.99,14.17,4.70,71.25,1.47,4.28,4.13,29.91831318
3.08,25.05,59.57,12.30,4.72,73.56,1.17,6.12,2.13,29.49262022
1.60,23.24,60.70,14.46,4.47,72.86,1.40,4.85,1.96,29.38966507
1.37,28.15,60.57,9.91,4.79,77.21,1.49,4.70,1.90,31.51657205
1.13,29.94,61.63,7.30,5.01,79.72,1.39,4.50,2.08,32.82688918
2.65,22.77,60.18,14.40,4.53,73.04,1.15,6.10,.78,29.45145953
1.20,29.60,60.40,8.80,5.10,78.60,1.20,4.90,1.40,31.91300416
2.40,33.32,53.16,11.12,5.09,74.33,1.34,6.11,2.01,30.14170386
1.00,28.20,58.30,12.50,4.70,74.70,1.20,5.00,1.90,30.65240732
1.40,28.20,57.50,12.90,4.70,73.70,1.30,5.50,1.90,29.77719369
1.62,29.39,58.42,10.57,4.96,75.66,1.25,5.72,1.84,30.87441940
1.06,32.08,58.02,8.84,4.87,76.25,1.43,5.30,3.31,31.51662196
5.10,23.12,62.30,9.48,4.89,74.56,1.25,8.94,.88,28.96853200
3.33,29.42,56.87,10.38,4.98,73.45,1.36,7.50,2.33,29.57601994
6.95,29.49,53.83,9.73,5.36,71.38,1.07,11.18,1.28,27.63630083
2.65,30.64,55.66,11.05,5.04,73.93,1.29,7.43,1.26,29.70743513
3.47,31.81,55.74,8.98,5.21,73.66,1.39,8.18,2.58,30.06952224
1.00,28.10,57.30,13.60,4.70,73.20,1.20,6.10,1.20,30.04058614
2.50,35.40,51.60,10.50,5.50,72.40,1.50,7.50,2.60,29.67605336
1.18,34.47,54.50,9.85,5.16,75.21,1.49,6.37,1.92,31.10435838
5.88,32.67,53.31,8.14,5.56,72.90,1.47,10.62,1.31,28.53142386
3.10,30.20,46.40,20.30,4.80,64.10,1.30,8.20,1.30,25.65410029
1.50,32.70,48.70,17.10,4.80,67.10,1.30,6.80,2.90,28.02101809
1.60,34.97,50.41,13.02,4.91,70.80,1.45,6.90,2.92,29.08560848
1.55,38.94,42.62,16.89,4.76,66.21,1.43,6.86,3.85,27.88313118
3.04,34.34,54.34,8.28,5.31,74.71,1.44,8.26,2.00,30.33419197
3.12,32.71,50.10,14.07,5.22,70.13,1.27,8.35,.96,28.55072928
2.20,36.10,53.90,7.80,5.30,76.20,1.60,7.70,1.40,30.90819953
1.99,32.40,57.59,8.02,5.20,77.14,1.33,7.54,.77,31.38001028
2.12,38.80,51.60,7.48,5.44,74.88,1.42,7.67,3.11,30.82651836
1.47,33.77,53.63,11.13,5.08,72.98,1.39,7.23,2.19,29.97594024
2.86,31.68,57.60,7.86,5.17,74.56,1.40,8.55,2.46,30.78543560
2.00,37.60,49.60,10.80,5.30,71.40,1.20,7.90,3.40,29.57096384
4.45,32.69,59.82,3.04,5.50,79.28,1.39,10.23,.56,31.32051184
3.03,32.90,62.37,1.70,5.63,81.78,1.26,9.04,.59,32.89033270
1.78,34.79,52.52,10.91,5.16,72.18,1.42,8.06,2.27,29.74673938
2.11,34.99,54.54,8.36,5.24,74.69,1.44,8.85,1.42,30.93664266
1.52,39.91,47.53,11.04,5.19,70.18,1.50,9.06,3.03,29.84403764
3.00,39.00,51.20,6.80,5.40,74.40,1.60,10.90,.90,29.86868048
3.60,16.49,67.54,12.37,4.47,74.79,1.29,5.31,1.77,29.25365958
3.55,28.74,50.27,17.44,4.75,65.60,1.16,7.94,3.11,26.42017244
4.44,20.94,57.31,17.31,4.58,67.99,1.10,6.97,2.05,26.68491767
1.23,27.51,59.18,12.08,4.68,73.65,1.40,5.71,2.48,30.16805822
1.69,26.96,56.34,15.01,4.63,71.07,1.39,5.59,2.31,28.95404167
.76,22.57,59.27,17.40,4.09,71.27,1.07,2.79,3.38,29.18389830
1.26,25.85,52.59,20.30,4.20,65.04,.94,3.25,6.27,27.08673853
2.57,21.15,54.63,21.65,4.31,64.86,1.13,4.81,3.24,26.46017395
1.01,26.16,53.56,19.27,4.33,67.79,1.20,3.50,3.91,28.30547688
1.70,17.80,70.70,9.80,4.40,77.80,1.30,4.20,2.50,31.36296760
3.19,26.03,56.76,14.02,4.71,71.70,1.35,5.66,2.56,28.83167568
1.31,27.23,59.94,11.52,4.83,76.80,1.52,4.02,1.31,31.38905332
2.29,15.46,67.02,15.23,4.10,73.35,1.02,5.08,1.22,28.95202174
1.74,21.96,64.21,12.09,4.41,76.26,.99,4.64,1.61,30.80220118
2.74,20.69,70.51,6.06,4.58,81.64,1.48,5.53,.71,32.32409957
2.03,29.49,60.82,7.66,5.10,78.15,1.31,5.01,2.77,31.88405591
1.27,29.07,51.89,17.77,4.27,68.17,1.21,4.42,4.16,27.90290604
1.85,32.74,58.24,7.17,5.03,78.05,1.72,5.13,2.90,31.72113217
3.85,29.66,49.58,16.91,4.83,67.46,1.18,6.92,2.70,27.09122188
1.33,20.08,62.29,16.30,4.12,72.72,1.11,4.69,1.06,29.19061756
1.25,26.44,53.09,19.22,4.46,67.86,1.28,4.63,2.55,28.04872347
2.77,20.86,63.88,12.49,4.45,75.33,1.06,5.99,.68,29.76322795
1.82,31.33,57.24,9.61,5.15,76.25,1.33,5.23,2.43,31.34071328
1.73,31.57,58.27,8.43,5.12,77.14,1.33,5.19,2.79,31.66651438
1.62,22.65,58.97,16.76,4.48,71.19,1.23,5.14,1.20,28.94953098
