Moisture,Volatile_matter,Fixed_Carbon,Std.Ash,GCV
20.26,30.75,45.15,3.84,18.47043248
22.86,32.3,43.15,1.69,18.05293365
10.3,39.4,40.5,9.8,22.28242391
17.51,29.81,46.39,6.29,19.29531361
21.18,31.14,45.62,2.06,18.74113828
31.52,28.79,35.14,4.55,12.64145203
17.51,30.57,47.04,4.88,19.78437966
25.8,34.0,34.1,6.1,15.08732945
12.4,39.2,39.6,8.8,21.27257604
15.1,32.9,42.77,9.23,19.85512874
15.2,37.4,37.1,10.3,19.28992435
15.8,31.44,43.03,9.73,19.31596247
24.91,31.84,35.78,7.47,14.84070958
17.99,33.6,39.71,8.7,18.07015516
19.41,34.69,41.71,4.19,18.6993766
16.35,31.08,44.37,8.2,19.40939139
32.8,29.2,32.2,5.8,11.86803475
19.4,31.8,42.3,6.5,18.03113965
12.3,33.5,47.2,7.0,22.05072119
23.75,28.24,45.98,2.03,17.32361829
32.2,29.5,29.6,8.7,11.35968606
17.35,34.55,41.85,6.25,19.16767086
17.94,35.94,34.27,11.85,17.20777857
22.0,32.92,43.28,1.8,18.44100508
21.7,33.6,38.5,6.2,17.04910057
17.62,34.67,44.37,3.34,19.8476778
16.4,31.3,47.5,4.8,20.45243988
32.5,28.7,32.9,5.9,11.88964595
18.13,31.29,45.0,5.58,18.89731003
18.87,35.6,42.49,3.04,19.37123664
15.6,33.1,44.8,6.5,20.41103715
10.6,37.4,47.6,4.4,23.91179538
11.6,33.3,42.8,12.3,20.46638259
26.64,32.75,36.89,3.72,15.14136938
18.24,36.91,40.11,4.74,19.08656009
23.36,28.13,46.61,1.9,17.4908428
18.1,33.0,39.6,9.3,17.82336563
10.1,37.2,46.4,6.3,23.29346048
31.6,29.7,32.7,6.0,12.38181985
35.3,27.8,33.3,3.6,11.32113593
20.1,32.72,45.34,1.84,19.34117072
35.5,26.8,32.1,5.6,10.76168071
20.21,31.81,45.19,2.79,19.09772493
24.65,30.37,42.99,1.99,16.77967507
14.4,34.0,40.2,11.4,19.29090913
18.9,33.5,42.4,5.2,18.77051276
29.63,32.15,33.9,4.32,13.69040996
16.5,34.81,43.95,4.74,19.97976945
34.2,27.3,33.8,4.7,11.36070769
16.16,36.13,41.33,6.38,19.76695428
24.81,32.79,36.09,6.31,15.07518108
21.1,33.1,40.0,5.8,17.52793845
29.2,31.7,35.6,3.5,14.19827108
16.7,36.5,42.8,4.0,20.3828825
19.5,30.0,46.0,4.5,18.72702951
27.33,34.25,31.52,6.9,13.80013365
20.5,33.0,39.6,6.9,17.38428583
34.0,28.0,33.9,4.1,11.54860852
22.01,34.27,41.69,2.03,18.35341283
31.4,29.7,31.5,7.4,11.95587383
22.48,32.39,42.75,2.38,17.81404236
20.2,33.5,37.6,8.7,17.32358856
21.1,33.7,34.0,11.2,15.9878267
31.0,28.1,30.6,10.3,11.27212835
16.34,33.49,45.17,5.0,20.19880079
17.8,32.8,45.8,3.6,19.84836464
32.5,29.5,28.3,9.7,10.82302864
20.2,32.7,42.7,4.4,18.34366486
19.94,33.35,42.92,3.79,18.37359739
19.2,34.64,40.96,5.2,18.2054545
12.5,31.1,39.2,17.2,17.94406889
31.19,27.46,36.18,5.17,12.4306849
16.1,32.1,47.0,4.8,20.58239138
17.1,33.4,45.5,4.0,20.19649443
23.81,31.87,41.96,2.36,17.15782
21.26,29.64,47.28,1.82,18.45836907
30.9,30.7,33.4,5.0,12.76574137
21.15,34.92,41.34,2.59,18.39831777
25.71,33.29,31.03,9.97,13.60355823
9.8,33.3,52.2,4.7,24.05854638
12.6,36.7,45.3,5.4,21.97529113
18.17,34.68,43.7,3.45,19.42051211
19.79,28.87,48.37,2.97,18.65385641
24.87,30.86,39.64,4.63,15.44032001
29.8,30.4,34.7,5.1,13.35370964
11.2,40.9,40.6,7.3,22.34774739
18.06,35.93,39.65,6.36,17.95180646
27.01,33.66,35.05,4.28,14.70896743
11.3,34.1,43.7,10.9,20.75644245
25.6,25.8,36.8,11.8,13.12216519
17.1,37.14,37.9,7.86,18.72686329
25.32,28.77,40.01,5.9,14.98856314
20.7,35.3,28.3,15.7,14.46584383
18.5,37.44,40.31,3.75,19.19819053
33.4,29.0,32.4,5.2,11.60730608
22.82,37.55,32.51,7.12,15.50292571
34.4,28.2,33.1,4.3,11.31106996
28.45,31.45,36.35,3.75,14.31572271
20.5,32.8,38.7,8.0,16.97752297
20.6,33.9,42.2,3.3,18.28496145
6.5,30.8,44.3,18.4,20.85163892
19.59,30.15,45.98,4.28,18.65761102
16.1,32.8,47.0,4.1,20.66845725
15.3,34.5,46.5,3.7,21.3950102
17.35,35.25,40.61,6.79,18.82576798
10.8,37.2,43.2,8.8,21.56774614
33.4,29.1,34.1,3.4,11.91683424
30.25,30.72,34.26,4.77,12.77718423
14.1,29.7,46.3,9.9,19.47432904
27.38,33.28,33.99,5.35,14.12814511
24.5,29.2,39.1,7.2,14.77253362
37.1,30.3,26.9,5.7,9.53002819
21.1,35.0,38.4,5.5,17.38126114
30.1,31.4,33.2,5.3,12.83217315
17.7,39.0,38.2,5.1,19.08650105
20.04,39.78,37.52,2.66,18.32285983
22.37,33.9,38.28,5.45,16.17968233
20.9,34.0,41.2,3.9,17.92177646
15.0,35.4,34.6,15.0,16.86835532
29.18,31.9,33.43,5.49,13.15585103
18.0,36.8,37.4,7.8,18.00718163
16.5,34.5,43.3,5.7,19.57806239
43.4,24.0,24.5,8.1,6.36586958
19.5,38.1,33.6,8.8,16.59280675
11.5,32.5,39.3,16.7,18.6734715
10.8,38.5,44.1,6.6,22.55224047
26.68,33.96,34.27,5.09,14.20968501
8.2,33.5,37.5,20.8,19.49545832
25.78,33.42,37.0,3.8,15.29649715
14.3,34.0,44.3,7.4,19.79534843
19.18,34.04,44.18,2.6,18.82786704
13.9,34.6,46.0,5.5,20.66786563
14.6,32.3,42.7,10.4,18.35691839
20.0,34.3,40.0,5.7,17.38207928
26.9,32.29,36.38,4.43,14.24509598
18.3,35.4,41.4,4.9,18.79547022
17.5,35.1,43.7,3.7,19.51630832
19.1,34.8,41.7,4.4,18.25440682
15.6,35.6,44.4,4.4,20.39725522
24.05,36.83,33.68,5.44,15.39196427
22.7,34.9,32.6,9.8,14.8910475
14.4,31.4,46.5,7.7,19.33463481
10.2,36.2,46.9,6.7,22.66220198
13.8,33.3,44.3,8.6,19.93105203
17.5,34.4,44.1,4.0,19.36293851
23.8,33.1,37.8,5.3,15.1573989
15.4,36.1,44.7,3.8,20.30779829
41.8,25.2,23.4,9.6,6.27533492
16.0,34.3,45.8,3.9,19.87115029
23.7,35.51,36.12,4.67,15.35108114
14.5,34.6,44.5,6.4,19.53042061
34.7,28.3,24.3,12.7,7.89064435
21.9,32.7,37.8,7.6,15.11775429
17.1,36.7,42.0,4.2,19.16803031
39.1,26.7,28.6,5.6,7.93931571
39.7,27.2,26.7,6.4,7.31448509
14.8,38.6,38.4,8.2,18.84831309
35.1,31.0,25.0,8.9,8.12871968
24.3,29.8,31.3,14.6,11.43418409
38.8,27.5,28.4,5.3,7.94972627
30.4,28.2,30.9,10.5,9.57473781
22.1,31.9,39.1,6.9,14.41137598
18.7,34.2,36.4,10.7,15.26503662
22.0,33.2,40.3,4.5,15.26169037
23.9,31.6,42.0,2.5,14.92529925
34.4,28.1,24.7,12.8,7.40859839
26.7,29.4,33.9,10.0,10.8672735
15.7,36.0,40.4,7.9,17.55219876
27.2,30.9,35.2,6.7,11.72374068
29.2,29.9,31.1,9.8,9.95384889
31.7,31.3,31.5,5.5,9.98300004
27.0,32.9,32.9,7.2,11.17887967
18.9,36.6,35.9,8.6,14.30386555
27.3,31.6,27.3,13.8,9.34248827
23.8,33.6,37.1,5.5,12.66083734
1.0,25.5,69.4,4.1,34.23214159
1.2,24.8,56.6,17.4,28.99700486
10.4,38.1,46.1,5.4,24.40234514
